municipality_code,municipality_name,municipality_name_short,county_code
0114,Upplands Väsby kommun,Upplands Väsby,01
0115,Vallentuna kommun,Vallentuna,01
0117,Österåkers kommun,Österåker,01
0120,Värmdö kommun,Värmdö,01
0123,Järfälla kommun,Järfälla,01
0125,Ekerö kommun,Ekerö,01
0126,Huddinge kommun,Huddinge,01
0127,Botkyrka kommun,Botkyrka,01
0128,Salems kommun,Salem,01
0136,Haninge kommun,Haninge,01
0138,Tyresö kommun,Tyresö,01
0139,Upplands-Bro kommun,Upplands-Bro,01
0140,Nykvarns kommun,Nykvarn,01
0160,Täby kommun,Täby,01
0162,Danderyds kommun,Danderyd,01
0163,Sollentuna kommun,Sollentuna,01
0180,Stockholms kommun,Stockholm,01
0181,Södertälje kommun,Södertälje,01
0182,Nacka kommun,Nacka,01
0183,Sundbybergs kommun,Sundbyberg,01
0184,Solna kommun,Solna,01
0186,Lidingö kommun,Lidingö,01
0187,Vaxholms kommun,Vaxholm,01
0188,Norrtälje kommun,Norrtälje,01
0191,Sigtuna kommun,Sigtuna,01
0192,Nynäshamns kommun,Nynäshamn,01
0305,Håbo kommun,Håbo,03
0319,Älvkarleby kommun,Älvkarleby,03
0330,Knivsta kommun,Knivsta,03
0331,Heby kommun,Heby,03
0360,Tierps kommun,Tierp,03
0380,Uppsala kommun,Uppsala,03
0381,Enköpings kommun,Enköping,03
0382,Östhammars kommun,Östhammar,03
0428,Vingåkers kommun,Vingåker,04
0461,Gnesta kommun,Gnesta,04
0480,Nyköpings kommun,Nyköping,04
0481,Oxelösunds kommun,Oxelösund,04
0482,Flens kommun,Flen,04
0483,Katrineholms kommun,Katrineholm,04
0484,Eskilstuna kommun,Eskilstuna,04
0486,Strängnäs kommun,Strängnäs,04
0488,Trosa kommun,Trosa,04
0509,Ödeshögs kommun,Ödeshög,05
0512,Ydre kommun,Ydre,05
0513,Kinda kommun,Kinda,05
0560,Boxholms kommun,Boxholm,05
0561,Åtvidabergs kommun,Åtvidaberg,05
0562,Finspångs kommun,Finspång,05
0563,Valdemarsviks kommun,Valdemarsvik,05
0580,Linköpings kommun,Linköping,05
0581,Norrköpings kommun,Norrköping,05
0582,Söderköpings kommun,Söderköping,05
0583,Motala kommun,Motala,05
0584,Vadstena kommun,Vadstena,05
0586,Mjölby kommun,Mjölby,05
0604,Aneby kommun,Aneby,06
0617,Gnosjö kommun,Gnosjö,06
0642,Mullsjö kommun,Mullsjö,06
0643,Habo kommun,Habo,06
0662,Gislaveds kommun,Gislaved,06
0665,Vaggeryds kommun,Vaggeryd,06
0680,Jönköpings kommun,Jönköping,06
0682,Nässjö kommun,Nässjö,06
0683,Värnamo kommun,Värnamo,06
0684,Sävsjö kommun,Sävsjö,06
0685,Vetlanda kommun,Vetlanda,06
0686,Eksjö kommun,Eksjö,06
0687,Tranås kommun,Tranås,06
0760,Uppvidinge kommun,Uppvidinge,07
0761,Lessebo kommun,Lessebo,07
0763,Tingsryds kommun,Tingsryd,07
0764,Alvesta kommun,Alvesta,07
0765,Älmhults kommun,Älmhult,07
0767,Markaryds kommun,Markaryd,07
0780,Växjö kommun,Växjö,07
0781,Ljungby kommun,Ljungby,07
0821,Högsby kommun,Högsby,08
0834,Torsås kommun,Torsås,08
0840,Mörbylånga kommun,Mörbylånga,08
0860,Hultsfreds kommun,Hultsfred,08
0861,Mönsterås kommun,Mönsterås,08
0862,Emmaboda kommun,Emmaboda,08
0880,Kalmars kommun,Kalmar,08
0881,Nybro kommun,Nybro,08
0882,Oskarshamns kommun,Oskarshamn,08
0883,Västerviks kommun,Västervik,08
0884,Vimmerby kommun,Vimmerby,08
0885,Borgholms kommun,Borgholm,08
0980,Gotlands kommun,Gotland,09
1060,Olofströms kommun,Olofström,10
1080,Karlskrona kommun,Karlskrona,10
1081,Ronneby kommun,Ronneby,10
1082,Karlshamns kommun,Karlshamn,10
1083,Sölvesborgs kommun,Sölvesborg,10
1214,Svalövs kommun,Svalöv,12
1230,Staffanstorps kommun,Staffanstorp,12
1231,Burlövs kommun,Burlöv,12
1233,Vellinge kommun,Vellinge,12
1256,Östra Göinge kommun,Östra Göinge,12
1257,Örkelljunga kommun,Örkelljunga,12
1260,Bjuvs kommun,Bjuv,12
1261,Kävlinge kommun,Kävlinge,12
1262,Lomma kommun,Lomma,12
1263,Svedala kommun,Svedala,12
1264,Skurups kommun,Skurup,12
1265,Sjöbo kommun,Sjöbo,12
1266,Hörby kommun,Hörby,12
1267,Höörs kommun,Höör,12
1270,Tomelilla kommun,Tomelilla,12
1272,Bromölla kommun,Bromölla,12
1273,Osby kommun,Osby,12
1275,Perstorps kommun,Perstorp,12
1276,Klippans kommun,Klippan,12
1277,Åstorps kommun,Åstorp,12
1278,Båstads kommun,Båstad,12
1280,Malmö kommun,Malmö,12
1281,Lunds kommun,Lund,12
1282,Landskrona kommun,Landskrona,12
1283,Helsingborgs kommun,Helsingborg,12
1284,Höganäs kommun,Höganäs,12
1285,Eslövs kommun,Eslöv,12
1286,Ystads kommun,Ystad,12
1287,Trelleborgs kommun,Trelleborg,12
1290,Kristianstads kommun,Kristianstad,12
1291,Simrishamns kommun,Simrishamn,12
1292,Ängelholms kommun,Ängelholm,12
1293,Hässleholms kommun,Hässleholm,12
1315,Hylte kommun,Hylte,13
1380,Halmstads kommun,Halmstad,13
1381,Laholms kommun,Laholm,13
1382,Falkenbergs kommun,Falkenberg,13
1383,Varbergs kommun,Varberg,13
1384,Kungsbacka kommun,Kungsbacka,13
1401,Härryda kommun,Härryda,14
1402,Partille kommun,Partille,14
1407,Öckerö kommun,Öckerö,14
1415,Stenungsunds kommun,Stenungsund,14
1419,Tjörns kommun,Tjörn,14
1421,Orusts kommun,Orust,14
1427,Sotenäs kommun,Sotenäs,14
1430,Munkedals kommun,Munkedal,14
1435,Tanums kommun,Tanum,14
1438,Dals-Eds kommun,Dals-Ed,14
1439,Färgelanda kommun,Färgelanda,14
1440,Ale kommun,Ale,14
1441,Lerums kommun,Lerum,14
1442,Vårgårda kommun,Vårgårda,14
1443,Bollebygds kommun,Bollebygd,14
1444,Grästorps kommun,Grästorp,14
1445,Essunga kommun,Essunga,14
1446,Karlsborgs kommun,Karlsborg,14
1447,Gullspångs kommun,Gullspång,14
1452,Tranemo kommun,Tranemo,14
1460,Bengtsfors kommun,Bengtsfors,14
1461,Melleruds kommun,Mellerud,14
1462,Lilla Edets kommun,Lilla Edet,14
1463,Marks kommun,Mark,14
1465,Svenljunga kommun,Svenljunga,14
1466,Herrljunga kommun,Herrljunga,14
1470,Vara kommun,Vara,14
1471,Götene kommun,Götene,14
1472,Tibro kommun,Tibro,14
1473,Töreboda kommun,Töreboda,14
1480,Göteborgs kommun,Göteborg,14
1481,Mölndals kommun,Mölndal,14
1482,Kungälvs kommun,Kungälv,14
1484,Lysekils kommun,Lysekil,14
1485,Uddevalla kommun,Uddevalla,14
1486,Strömstads kommun,Strömstad,14
1487,Vänersborgs kommun,Vänersborg,14
1488,Trollhättans kommun,Trollhättan,14
1489,Alingsås kommun,Alingsås,14
1490,Borås kommun,Borås,14
1491,Ulricehamns kommun,Ulricehamn,14
1492,Åmåls kommun,Åmål,14
1493,Mariestads kommun,Mariestad,14
1494,Lidköpings kommun,Lidköping,14
1495,Skara kommun,Skara,14
1496,Skövde kommun,Skövde,14
1497,Hjo kommun,Hjo,14
1498,Tidaholms kommun,Tidaholm,14
1499,Falköpings kommun,Falköping,14
1715,Kils kommun,Kil,17
1730,Eda kommun,Eda,17
1737,Torsby kommun,Torsby,17
1760,Storfors kommun,Storfors,17
1761,Hammarö kommun,Hammarö,17
1762,Munkfors kommun,Munkfors,17
1763,Forshaga kommun,Forshaga,17
1764,Grums kommun,Grums,17
1765,Årjängs kommun,Årjäng,17
1766,Sunne kommun,Sunne,17
1780,Karlstads kommun,Karlstad,17
1781,Kristinehamns kommun,Kristinehamn,17
1782,Filipstads kommun,Filipstad,17
1783,Hagfors kommun,Hagfors,17
1784,Arvika kommun,Arvika,17
1785,Säffle kommun,Säffle,17
1814,Lekebergs kommun,Lekeberg,18
1860,Laxå kommun,Laxå,18
1861,Hallsbergs kommun,Hallsberg,18
1862,Degerfors kommun,Degerfors,18
1863,Hällefors kommun,Hällefors,18
1864,Ljusnarsbergs kommun,Ljusnarsberg,18
1880,Örebro kommun,Örebro,18
1881,Kumla kommun,Kumla,18
1882,Askersunds kommun,Askersund,18
1883,Karlskoga kommun,Karlskoga,18
1884,Nora kommun,Nora,18
1885,Lindesbergs kommun,Lindesberg,18
1904,Skinnskattebergs kommun,Skinnskatteberg,19
1907,Surahammars kommun,Surahammar,19
1960,Kungsörs kommun,Kungsör,19
1961,Hallstahammars kommun,Hallstahammar,19
1962,Norbergs kommun,Norberg,19
1980,Västerås kommun,Västerås,19
1981,Sala kommun,Sala,19
1982,Fagersta kommun,Fagersta,19
1983,Köpings kommun,Köping,19
1984,Arboga kommun,Arboga,19
2021,Vansbro kommun,Vansbro,20
2023,Malung-Sälens kommun,Malung-Sälen,20
2026,Gagnefs kommun,Gagnef,20
2029,Leksands kommun,Leksand,20
2031,Rättviks kommun,Rättvik,20
2034,Orsa kommun,Orsa,20
2039,Älvdalens kommun,Älvdalen,20
2061,Smedjebackens kommun,Smedjebacken,20
2062,Mora kommun,Mora,20
2080,Faluns kommun,Falun,20
2081,Borlänge kommun,Borlänge,20
2082,Säters kommun,Säter,20
2083,Hedemora kommun,Hedemora,20
2084,Avesta kommun,Avesta,20
2085,Ludvika kommun,Ludvika,20
2101,Ockelbo kommun,Ockelbo,21
2104,Hofors kommun,Hofors,21
2121,Ovanåkers kommun,Ovanåker,21
2132,Nordanstigs kommun,Nordanstig,21
2161,Ljusdals kommun,Ljusdal,21
2180,Gävle kommun,Gävle,21
2181,Sandvikens kommun,Sandviken,21
2182,Söderhamns kommun,Söderhamn,21
2183,Bollnäs kommun,Bollnäs,21
2184,Hudiksvalls kommun,Hudiksvall,21
2260,Ånge kommun,Ånge,22
2262,Timrå kommun,Timrå,22
2280,Härnösands kommun,Härnösand,22
2281,Sundsvalls kommun,Sundsvall,22
2282,Kramfors kommun,Kramfors,22
2283,Sollefteå kommun,Sollefteå,22
2284,Örnsköldsviks kommun,Örnsköldsvik,22
2303,Ragunda kommun,Ragunda,23
2305,Bräcke kommun,Bräcke,23
2309,Krokoms kommun,Krokom,23
2313,Strömsunds kommun,Strömsund,23
2321,Åre kommun,Åre,23
2326,Bergs kommun,Berg,23
2361,Härjedalens kommun,Härjedalen,23
2380,Östersunds kommun,Östersund,23
2401,Nordmalings kommun,Nordmaling,24
2403,Bjurholms kommun,Bjurholm,24
2404,Vindelns kommun,Vindeln,24
2409,Robertsfors kommun,Robertsfors,24
2417,Norsjö kommun,Norsjö,24
2418,Malå kommun,Malå,24
2421,Storumans kommun,Storuman,24
2422,Sorsele kommun,Sorsele,24
2425,Dorotea kommun,Dorotea,24
2460,Vännäs kommun,Vännäs,24
2462,Vilhelmina kommun,Vilhelmina,24
2463,Åsele kommun,Åsele,24
2480,Umeå kommun,Umeå,24
2481,Lycksele kommun,Lycksele,24
2482,Skellefteå kommun,Skellefteå,24
2505,Arvidsjaurs kommun,Arvidsjaur,25
2506,Arjeplogs kommun,Arjeplog,25
2510,Jokkmokks kommun,Jokkmokk,25
2513,Överkalixs kommun,Överkalix,25
2514,Kalixs kommun,Kalix,25
2518,Övertorneå kommun,Övertorneå,25
2521,Pajala kommun,Pajala,25
2523,Gällivare kommun,Gällivare,25
2560,Älvsbyns kommun,Älvsbyn,25
2580,Luleå kommun,Luleå,25
2581,Piteå kommun,Piteå,25
2582,Bodens kommun,Boden,25
2583,Haparanda kommun,Haparanda,25
2584,Kiruna kommun,Kiruna,25
